,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
122,100.0,161.0,23.0,0.9684,57.5,1.0,1.465,1.23,1.86,15.0,0.66,0.84,0.45,17.4,4.1,13.5,106.0
123,99.1,134.5,-17.7,0.87,2.1,-15.035366528164833,1.4565,1.4,1.2480643793533726,7.92284216241911,0.23274080277570464,0.511914779535693,0.3381865962800788,17.4,3.1,6.5,115.2
124,278.15,340.0,-35.0,1.05,2.383319968320334,2.01e-05,1.49,4.72,3.439979436610848,6.4,0.01591639274487703,0.24110098960154036,0.7762867923867574,17.8,8.6,4.1,266.0
125,314.25,344.5,-10.0,0.938,5.9026282654326225,27.768399701546624,1.4415,0.9223872918612308,3.649499827074429,24.067479035626388,0.0438259835646092,0.5827894167236426,0.7810544757464345,13.9,4.5,4.1,339.0
126,101.94,8.9,-135.0,3.57,0.313,1360.0,1.3724,1.55,0.860244962915172,5.34,0.11359683384552154,0.09212608820604376,0.3399785477760161,15.8,3.1,5.7,75.4
127,73.09,55.5,-50.0,0.71,0.319,237.0,1.3864,0.58,0.92,3.7,0.3,0.7,0.24,14.9,2.3,6.1,103.2
128,118.06,126.0,-43.0,0.98,1.029203629291016,70.87850216216965,1.3845,1.21,1.1,9.48766175394413,0.0,0.4,0.45,16.6,3.1,6.1,121.0
129,162.13,230.0,-68.0,0.954,0.0649,0.0219,1.4258,0.3,2.4600408838220913,4.38002306600755,0.22828274561892944,0.595487238411572,0.7531793204261342,16.0,7.0,10.6,170.6
130,134.09,162.0,-68.0,0.95,1.089,-70.47609230482523,1.4097,-0.36,2.9210260394987437,23.99719197412629,0.4273191261528456,0.624097373144113,0.7828625485502044,15.8,6.1,9.2,142.0
131,134.09,199.0,-76.0,0.99,3.85,-79.32689506770089,1.4273,-0.15,3.1119014971102104,20.12096386054801,0.32127958869948603,0.6610431628110189,0.8474801258079669,16.2,7.8,12.7,118.0
132,134.09,199.0,-76.0,0.99,3.85,-79.32689506770089,1.4273,-0.15,3.5649731252144745,31.071153175414207,0.3165417346257306,0.6919431207609494,0.8474801258079669,16.2,9.2,12.3,130.9
133,103.11,207.0,-39.0,0.96,6.386333651449495,0.23,1.481,-1.3,3.5649731252144745,31.356391408737807,0.3408156768433054,0.7135680586035933,0.8249617720399689,16.8,13.3,14.3,108.0
134,222.09,295.0,-23.0,1.12,3.3337328373798125,0.0021,1.5002,2.47,3.8702547354398984,34.28590465862872,0.05132770481800873,0.2813849115634553,0.856700303261558,17.6,9.6,4.5,198.0
135,154.03,209.5,-25.0,1.2,1.79,23.383048761530485,1.40037,1.14,3.985767403016502,36.36746304597766,0.2783361355744604,0.4501025942633779,0.8227500155494751,15.8,14.7,7.2,131.5
136,90.05,92.0,-102.05,0.8385,2.516359439995654,60.2,1.445,1.95,0.7932481160587344,4.605092641239496,0.0,0.37,0.46,17.0,3.1,2.0,108.2
137,102.0,68.0,-86.8,0.7192,0.38,149.262,1.368,1.52,1.13,3.9,0.0,0.49,0.27,15.1,3.2,3.2,141.8
138,194.06,284.0,5.5,1.19,17.2,0.00308,1.5168,1.795,2.8,32.043965071571535,0.0,0.78,0.82,18.6,10.8,4.9,163.0
139,94.01,238.0,109.0,1.149327454732724,8.038092331062128,10.41342430029894,1.4704397550235055,-1.41,3.5135826958808183,39.633424232016615,0.3047342179851696,0.521412103438963,0.9700354843152957,19.0,19.4,12.3,75.0
140,390.28,220.0,25.0,0.98,39.0,1e-07,1.485,8.1,2.84,15.649960233791598,0.09278280077780159,0.38302437745595674,0.6886987895499135,16.6,7.0,3.1,277.0
141,101.12,109.3,-63.0,0.738,0.517,20.1,1.40455,1.67,1.07,2.9,-0.03966121567662419,0.351262487463024,0.20758650688497818,15.3,1.4,4.1,136.9
142,134.09,202.3848499976283,-27.060561411896323,1.005,6.242592359231305,-79.32689506770089,1.45,0.17161445231446343,3.5649731252144745,26.010747273750006,0.35836326951406555,0.7285747341930118,0.8662126895298403,16.5,10.6,17.7,131.8
143,190.16,230.0,-54.00790998820369,0.91,4.9167691741658635,0.1,1.44,1.5,2.0125880071910602,9.305219837909322,0.6748252771510029,0.4851424831446334,0.6194787609403802,15.7,6.5,10.0,211.2
144,136.13,178.0,-74.0,0.8405,6.403899266202994,1.98,1.474,4.2,1.382430969443003,10.659980212637615,0.25857080458947035,0.43226304934267273,0.17239771490669564,17.2,1.8,4.3,162.9
145,92.0,116.0,-48.0,1.18,4.714696855717333,16.4,1.43585,0.26,1.8,34.32671580991359,0.3213625442913349,0.5157151518925067,0.9219447678144078,19.0,10.2,3.7,79.9
146,62.02,35.0,-144.4,0.84,3.6368484332302136,529.0,1.428,1.5,1.5334841435658642,13.438691116413022,0.3029714068962841,0.44516973174853913,0.43985748605582675,15.8,6.5,7.2,74.3
147,106.08,136.0,-95.0,0.87,0.64,9.6,1.4959,3.1,0.7546781349723559,1.3790579503540399,-0.16479260389759642,0.31968245671128154,0.4607761626590219,17.8,0.6,1.4,123.1
148,108.0,95.0,-80.6,1.1,-1.1971483124429592,71.34618012143417,1.3947,0.32246799232643253,3.473191263210519,24.65205857926281,-0.07991105898136719,0.30172485032585356,0.8251093018228782,15.5,10.0,6.8,95.6
149,176.08,147.019668942005,3.9250522448975573,1.0475,3.493818073895407,92.15772058117433,1.56,2.2274462453649266,3.096221404282729,5.3,0.021318790030740456,0.14430583935332086,0.7272550501466293,18.4,8.2,4.1,166.8
150,60.07,117.0,8.5,0.91,0.0154,-5.457157372084954,1.4565,-1.2,1.9,32.43528545621162,0.37362535677727754,0.7300744708451616,0.8800373121288568,16.6,8.8,17.0,67.3
151,118.1,171.0,-75.0,0.9,5.797629053660765,0.88,1.4198,0.83,2.08,10.891502352195106,0.6631256314176956,0.6759944497902645,0.606392562299067,16.0,5.1,12.3,131.6
